model_name,student,teacher,objective,learning_rate,step,max_model_len,n_attempts,tb21_pass@1,tb21_n_errored,tb21_n_tasks,tb21_beaker_url,tblite_pass@1,tblite_n_errored,tblite_n_tasks,tblite_beaker_url,opd_reverse_kl,train_scores,wandb_url,train_beaker_url,notes
hamishivi/Qwen3.5-9B,,,base_model,,,65536,5,0.1933,,89,,0.4320,,100,,,,,,anchor: base for the 9B runs
allenai/tmax-9b,,,rl_teacher,,,65536,5,0.2764,,89,,0.5340,,100,,,,,,anchor: teacher (9B runs) / teacher for 4B cross-size
Qwen/Qwen3.5-4B,,,base_model,,,65536,5,0.1348,,89,,0.3520,,100,,,,,,anchor: base for the 4B runs
allenai/tmax-4b,,,rl_teacher,,,65536,5,0.1865,,89,,0.4480,,100,,,,,,anchor: teacher (4B same-lineage) / student for the RL'd-student runs
swerl-qwen35-9b-dppo-4n64k,hamishivi/Qwen3.5-9B,,dppo_rl,1e-6,120,65536,5,0.2292,,89,,0.5240,,100,,,,,,prod DPPO baseline
swerl-qwen35-9b-dppo-4n64k,hamishivi/Qwen3.5-9B,,dppo_rl,1e-6,240,65536,5,0.2494,,89,,0.5740,,100,,,,,,prod DPPO baseline
swerl-qwen35-9b-dppo-4n64k,hamishivi/Qwen3.5-9B,,dppo_rl,1e-6,360,65536,5,0.3011,,89,,0.5820,,100,,,,,,prod DPPO baseline: TB2.1 peak
swerl-qwen35-9b-dppo-4n64k,hamishivi/Qwen3.5-9B,,dppo_rl,1e-6,440,65536,5,0.2337,,89,,0.6000,,100,,,,,,prod DPPO baseline: TBlite peak
swerl-qwen35-9b-dppo-4n64k,hamishivi/Qwen3.5-9B,,dppo_rl,1e-6,500,65536,5,0.2292,,89,,0.5160,,100,,,,,,prod DPPO baseline: final
opd-4b-base-from-tmax4b,hamishivi/Qwen3.5-4B,allenai/tmax-4b,pure_opd,1e-6,20,65536,1,0.10112359550561797,9,89,https://beaker.org/ex/01KZ9R91TEAEM3G4YWPFZTB1SX,0.37,11,100,https://beaker.org/ex/01KZ9R9BJRRHWNAV26G4ANFNG6,0.0761,0.4939,https://wandb.ai/ai2-llm/oe-general-agents/runs/80tz21ln,https://beaker.org/ex/01KZ7MWJFP9N0PB7213E51Z77T,
opd-4b-base-from-tmax4b,hamishivi/Qwen3.5-4B,allenai/tmax-4b,pure_opd,1e-6,40,65536,1,0.20224719101123595,9,89,https://beaker.org/ex/01KZ9QD1MC4AW52EBS1FC9DM57,0.44,11,100,https://beaker.org/ex/01KZ9QDB8EZQ4AVYKHHZ93DMXG,0.0544,0.5213,https://wandb.ai/ai2-llm/oe-general-agents/runs/80tz21ln,https://beaker.org/ex/01KZ7MWJFP9N0PB7213E51Z77T,
opd-4b-base-from-tmax4b,hamishivi/Qwen3.5-4B,allenai/tmax-4b,pure_opd,1e-6,60,65536,1,0.11235955056179775,15,89,https://beaker.org/ex/01KZ9R9QF0X8Z8WDTRAC7B6JSD,0.41,18,100,https://beaker.org/ex/01KZ9RA15BPEW8D5G3XB2EGHEZ,0.0378,0.5959,https://wandb.ai/ai2-llm/oe-general-agents/runs/80tz21ln,https://beaker.org/ex/01KZ7MWJFP9N0PB7213E51Z77T,
opd-4b-base-from-tmax4b,hamishivi/Qwen3.5-4B,allenai/tmax-4b,pure_opd,1e-6,80,65536,1,0.1797752808988764,17,89,https://beaker.org/ex/01KZ9RAB9JDHZ419TXKA7J12TT,0.37,15,100,https://beaker.org/ex/01KZ9RAN4Q9G0593YV04RE5KZZ,0.0312,0.5907,https://wandb.ai/ai2-llm/oe-general-agents/runs/80tz21ln,https://beaker.org/ex/01KZ7MWJFP9N0PB7213E51Z77T,
opd-4b-base-from-tmax4b,hamishivi/Qwen3.5-4B,allenai/tmax-4b,pure_opd,1e-6,100,65536,1,0.1348314606741573,14,89,https://beaker.org/ex/01KZ9RAYFAJHSSHGC376Q7X3WA,0.41,16,100,https://beaker.org/ex/01KZ9RB815RRVZ5CXN4T1M5C9C,0.0257,0.6801,https://wandb.ai/ai2-llm/oe-general-agents/runs/80tz21ln,https://beaker.org/ex/01KZ7MWJFP9N0PB7213E51Z77T,
opd-4b-base-from-tmax4b,hamishivi/Qwen3.5-4B,allenai/tmax-4b,pure_opd,1e-6,120,65536,1,0.15730337078651685,18,89,https://beaker.org/ex/01KZ9QDMSEFBX70MSE83BX1YSS,0.52,11,100,https://beaker.org/ex/01KZ9QDY7BTS65SEACP0DZ46HW,0.0213,0.5456,https://wandb.ai/ai2-llm/oe-general-agents/runs/80tz21ln,https://beaker.org/ex/01KZ7MWJFP9N0PB7213E51Z77T,
opd-4b-base-from-tmax4b,hamishivi/Qwen3.5-4B,allenai/tmax-4b,pure_opd,1e-6,140,65536,1,0.1797752808988764,9,89,https://beaker.org/ex/01KZB71T88F01B9G1K6F6MV0EE,0.5,12,100,https://beaker.org/ex/01KZB723NM7KKJXWP5Z2T8HA1J,0.0179,0.6827,https://wandb.ai/ai2-llm/oe-general-agents/runs/80tz21ln,https://beaker.org/ex/01KZ7MWJFP9N0PB7213E51Z77T,
opd-4b-base-from-tmax4b-lr5e7,hamishivi/Qwen3.5-4B,allenai/tmax-4b,pure_opd,5e-7,20,65536,1,0.15730337078651685,11,89,https://beaker.org/ex/01KZC9QX50ZWD18QCMG9PATE4K,0.44,14,100,https://beaker.org/ex/01KZC9R60HDJ2TXHA1XN6XH3KZ,0.1399,0.5907,https://wandb.ai/ai2-llm/oe-general-agents/runs/zjfcsx10,https://beaker.org/ex/01KZARWGGB69M3CB957WFXBX6Z,
